INSTNM,CITY,STABBR,CONTROL,REGION,ADM_RATE,SAT_AVG,PCTPELL,C150_4,RET_FT4,PCTFLOAN,DEBT_MDN,LOAN_EVER,MD_FAMINC,MD_EARN,LOCALE,CCBASIC,CCUGPROF,CCSIZSET,COSTT4,cost_to_earnings,SIZE,SETTING,FTIME,SEL,TRNS
Ottawa University-Ottawa,Ottawa,KS,Private nonprofit,Plains,0.7054,987.0,0.3617,0.3158,0.4975,0.7975,9424.5,0.9567379413,39249.0,44700.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",28450.0,0.6364653243847874,very small,highly residential,full-time,inclusive,higher transfer-in
Ottawa University-Kansas City,Overland Park,KS,Private nonprofit,Plains,,,0.1403,,,0.6209,9424.5,0.9567379413,39249.0,44700.0,City: Midsize,Master's Colleges & Universities: Small Programs,higher part-time,"very small, primarily nonresidential",,,very small,primarily nonresidential,higher part-time,,
Pittsburg State University,Pittsburg,KS,Public,Plains,0.7982,1010.0,0.3387,0.5201,0.7505,0.7039,7500.0,0.9179078628,44225.0,39200.0,Town: Distant,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",12708.0,0.32418367346938776,medium,primarily residential,full-time,inclusive,higher transfer-in
University of Saint Mary,Leavenworth,KS,Private nonprofit,Plains,0.7024,1008.0,0.2873,0.3667,0.5752,0.7174,10500.0,0.9591474245,62135.0,42300.0,Town: Fringe,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",26560.0,0.6278959810874705,small,primarily residential,full-time,inclusive,higher transfer-in
Southwestern College,Winfield,KS,Private nonprofit,Plains,0.901,998.0,0.2027,0.4463,0.7025,0.4713,12998.0,0.8801843318,42422.5,44400.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,higher part-time,"very small, primarily residential",29866.0,0.6726576576576576,very small,primarily residential,higher part-time,,
Sterling College,Sterling,KS,Private nonprofit,Plains,0.5509,1003.0,0.3852,0.4113,0.7933,0.7689,10750.0,0.9403578529,47985.0,38000.0,Rural: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",24930.0,0.6560526315789473,very small,highly residential,full-time,inclusive,higher transfer-in
Tabor College,Hillsboro,KS,Private nonprofit,Plains,0.9359,1016.0,0.2935,0.6353,0.6809,0.702,12500.0,0.966442953,55889.0,41800.0,Town: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",30981.0,0.7411722488038277,very small,highly residential,full-time,inclusive,higher transfer-in
Washburn University,Topeka,KS,Public,Plains,1.0,1010.0,0.2936,0.4302,0.6556,0.5598,9500.0,0.9185628743,33552.5,39600.0,City: Midsize,Master's Colleges & Universities: Medium Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily nonresidential",17709.0,0.4471969696969697,medium,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Wichita State University,Wichita,KS,Public,Plains,0.8846,1091.0,0.2388,0.419,0.6958,0.4597,7500.0,0.8922991071,38721.0,41200.0,City: Large,Doctoral Universities: High Research Activity,"medium full-time, selective, higher transfer-in","large, primarily nonresidential",14475.0,0.35133495145631066,large,primarily nonresidential,medium full-time,selective,higher transfer-in
Alice Lloyd College,Pippa Passes,KY,Private nonprofit,Southeast,0.0863,951.0,0.4663,0.3627,0.615,0.2003,5126.0,0.6376021798,29944.0,32100.0,Rural: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",15615.0,0.4864485981308411,very small,highly residential,full-time,inclusive,lower transfer-in
Asbury University,Wilmore,KY,Private nonprofit,Southeast,0.5579,1080.0,0.26,0.6512,0.8296,0.6716,14000.0,0.9288956127,58620.0,38000.0,Town: Fringe,Master's Colleges & Universities: Small Programs,"full-time, selective, lower transfer-in","small, highly residential",29888.0,0.7865263157894736,small,highly residential,full-time,selective,lower transfer-in
Bellarmine University,Louisville,KY,Private nonprofit,Southeast,0.5338,1118.0,0.1578,0.6533,0.7778,0.5371,12500.0,0.9409246575,65007.0,45500.0,City: Large,Doctoral/Professional Universities,"full-time, selective, lower transfer-in","small, primarily residential",39966.0,0.8783736263736264,small,primarily residential,full-time,selective,lower transfer-in
Berea College,Berea,KY,Private nonprofit,Southeast,0.188,1089.0,0.8115,0.649,0.8184,0.224,5551.0,0.4069050555,25372.0,34300.0,Town: Distant,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",9186.0,0.2678134110787172,small,highly residential,full-time,selective,lower transfer-in
Brescia University,Owensboro,KY,Private nonprofit,Southeast,0.6691,990.0,0.3218,0.4457,0.5664,0.6557,8698.5,0.9086651054,35746.0,39100.0,City: Small,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, primarily residential",23488.0,0.6007161125319693,very small,primarily residential,full-time,inclusive,higher transfer-in
Campbellsville University,Campbellsville,KY,Private nonprofit,Southeast,0.6853,972.0,0.3455,0.4131,0.6524,0.473,7500.0,0.8850148368,30948.5,32300.0,Town: Distant,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","medium, highly residential",27410.0,0.8486068111455108,medium,highly residential,full-time,selective,higher transfer-in
Centre College,Danville,KY,Private nonprofit,Southeast,0.6916,1256.0,0.1504,0.8088,0.9077,0.4712,17125.0,0.946835443,80578.0,47500.0,Town: Distant,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, more selective, lower transfer-in","small, highly residential",39200.0,0.8252631578947368,small,highly residential,full-time,more selective,lower transfer-in
Clear Creek Baptist Bible College,Pineville,KY,Private nonprofit,Southeast,,,0.7256,0.4,0.7692,0.0,,,19526.0,35100.0,Rural: Distant,Special Focus Four-Year: Faith-Related Institutions,"medium full-time, inclusive, higher transfer-in","very small, primarily residential",10228.0,0.2913960113960114,very small,primarily residential,medium full-time,inclusive,higher transfer-in
Galen College of Nursing-Louisville,Louisville,KY,Private for-profit,Southeast,0.8304,,0.5028,,,0.9123,9500.0,0.9759512938,31110.0,34800.0,City: Large,Special Focus Four-Year: Other Health Professions Schools,"medium full-time, inclusive, higher transfer-in","small, primarily nonresidential",20293.0,0.583132183908046,small,primarily nonresidential,medium full-time,inclusive,higher transfer-in
University of the Cumberlands,Williamsburg,KY,Private nonprofit,Southeast,0.7306,1007.0,0.3694,0.4015,0.6088,0.5393,6250.0,0.9105098855,40659.0,36400.0,Town: Remote,Doctoral/Professional Universities,"full-time, inclusive, higher transfer-in","medium, primarily residential",24293.0,0.6673901098901099,medium,primarily residential,full-time,inclusive,higher transfer-in
Eastern Kentucky University,Richmond,KY,Public,Southeast,0.7227,990.0,0.3154,0.3736,0.6885,0.5138,7865.0,0.8901515152,35380.5,34900.0,Town: Distant,Doctoral/Professional Universities,"full-time, inclusive, higher transfer-in","large, primarily residential",15700.0,0.4498567335243553,large,primarily residential,full-time,inclusive,higher transfer-in
Georgetown College,Georgetown,KY,Private nonprofit,Southeast,0.7924,1084.0,0.2317,0.6141,0.7857,0.6151,13984.0,0.9521044993,59018.0,44100.0,Town: Fringe,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",34380.0,0.7795918367346939,small,highly residential,full-time,selective,lower transfer-in
Kentucky State University,Frankfort,KY,Public,Southeast,0.2425,823.0,0.4537,0.2362,0.5199,0.6123,7950.0,0.9410977242,26879.0,31200.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","small, highly residential",15620.0,0.5006410256410256,small,highly residential,full-time,inclusive,lower transfer-in
Kentucky Wesleyan College,Owensboro,KY,Private nonprofit,Southeast,0.6466,1007.0,0.3806,0.5212,0.6301,0.67,10250.0,0.9110671937,39612.5,37700.0,City: Small,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",23942.0,0.6350663129973475,very small,highly residential,full-time,inclusive,higher transfer-in
University of Kentucky,Lexington,KY,Public,Southeast,0.7875,1123.0,0.2106,0.6014,0.8033,0.402,9179.0,0.9215264714,55858.0,43600.0,City: Large,Doctoral Universities: Very High Research Activity,"full-time, selective, lower transfer-in","large, primarily residential",19076.0,0.4375229357798165,large,primarily residential,full-time,selective,lower transfer-in
Kentucky Christian University,Grayson,KY,Private nonprofit,Southeast,0.7008,966.0,0.407,0.4194,0.534,0.7122,9500.0,0.9283950617,39361.0,29900.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",23477.0,0.7851839464882943,very small,highly residential,full-time,inclusive,lower transfer-in
Lindsey Wilson College,Columbia,KY,Private nonprofit,Southeast,,,0.5902,0.3316,0.5392,0.7312,7750.0,0.9177008491,25607.0,26300.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","small, highly residential",26707.0,1.0154752851711026,small,highly residential,full-time,inclusive,higher transfer-in
University of Louisville,Louisville,KY,Public,Southeast,0.6962,1111.0,0.2178,0.4825,0.7852,0.3975,8000.0,0.8744645799,43291.0,40400.0,City: Large,Doctoral Universities: Very High Research Activity,"full-time, selective, higher transfer-in","large, primarily nonresidential",16978.0,0.42024752475247523,large,primarily nonresidential,full-time,selective,higher transfer-in
Midway University,Midway,KY,Private nonprofit,Southeast,0.4676,951.0,0.6067,0.7364,0.825,0.8304,11000.0,0.9523809524,32077.0,39800.0,Rural: Distant,Master's Colleges & Universities: Small Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",26465.0,0.6649497487437186,small,primarily residential,full-time,inclusive,higher transfer-in
Morehead State University,Morehead,KY,Public,Southeast,0.5451,1010.0,0.4108,0.3505,0.7443,0.5307,7360.0,0.8577394209,32403.5,33400.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, selective, lower transfer-in","medium, primarily residential",13952.0,0.4177245508982036,medium,primarily residential,full-time,selective,lower transfer-in
Murray State University,Murray,KY,Public,Southeast,0.8558,1030.0,0.27,0.496,0.7248,0.461,8000.0,0.8868248071,41048.0,37200.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","medium, primarily residential",15242.0,0.4097311827956989,medium,primarily residential,full-time,selective,higher transfer-in
